GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201601260006,2016-01-26,"Syria","Homs","Islamic State of Iraq and the Levant (ISIL)",0,,,,,13,50,Military,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201601260005,2016-01-26,"Syria","Homs","Islamic State of Iraq and the Levant (ISIL)",0,,,,,14,50,Military,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201601230023,2016-01-23,"Iraq","Unknown","Islamic State of Iraq and the Levant (ISIL)",0,,,,,46,4,Police,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201601160013,2016-01-16,"Syria","Deir ez-Zor","Islamic State of Iraq and the Levant (ISIL)",0,,,,,17,Unknown,Military,Private Citizens & Property,,Middle East & North Africa,Hostage Taking (Kidnapping),Bombing/Explosion,,Explosives/Bombs/Dynamite,Unknown,,
201601160012,2016-01-16,"Syria","Deir ez-Zor","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,Unknown,Private Citizens & Property,,,Middle East & North Africa,Hostage Taking (Kidnapping),Bombing/Explosion,,Explosives/Bombs/Dynamite,Unknown,,
201601160011,2016-01-16,"Syria","Deir ez-Zor","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,Unknown,Private Citizens & Property,,,Middle East & North Africa,Hostage Taking (Kidnapping),Bombing/Explosion,,Explosives/Bombs/Dynamite,Unknown,,
201601160010,2016-01-16,"Syria","Deir ez-Zor","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,Unknown,Military,Private Citizens & Property,,Middle East & North Africa,Hostage Taking (Kidnapping),Bombing/Explosion,,Explosives/Bombs/Dynamite,Unknown,,
201601160008,2016-01-16,"Syria","Deir ez-Zor","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,Unknown,Military,Food or Water Supply,,Middle East & North Africa,Hostage Taking (Kidnapping),Bombing/Explosion,,Explosives/Bombs/Dynamite,Unknown,,
201601160007,2016-01-16,"Syria","Deir ez-Zor","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,Unknown,Military,Private Citizens & Property,,Middle East & North Africa,Hostage Taking (Kidnapping),Bombing/Explosion,,Explosives/Bombs/Dynamite,Unknown,,
201601160006,2016-01-16,"Syria","Deir ez-Zor","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,Unknown,Military,Business,,Middle East & North Africa,Hostage Taking (Kidnapping),Bombing/Explosion,,Explosives/Bombs/Dynamite,Unknown,,
201601160005,2016-01-16,"Syria","Deir ez-Zor","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,Unknown,Military,Private Citizens & Property,,Middle East & North Africa,Hostage Taking (Kidnapping),Bombing/Explosion,,Explosives/Bombs/Dynamite,Unknown,,
201601160004,2016-01-16,"Syria","Ayyash","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,Unknown,Private Citizens & Property,,,Middle East & North Africa,Hostage Taking (Kidnapping),Bombing/Explosion,,Explosives/Bombs/Dynamite,Unknown,,
201601160003,2016-01-16,"Syria","Bughailiyeh","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,Unknown,Military,Private Citizens & Property,,Middle East & North Africa,Hostage Taking (Kidnapping),Bombing/Explosion,,Explosives/Bombs/Dynamite,Unknown,,
201601160002,2016-01-16,"Syria","Deir ez-Zor","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,Unknown,Military,Private Citizens & Property,,Middle East & North Africa,Hostage Taking (Kidnapping),Bombing/Explosion,,Explosives/Bombs/Dynamite,Unknown,,
201601150072,2016-01-15,"Syria","Tuq al-Milh","Islamic State of Iraq and the Levant (ISIL)",0,,,,,3,3,Terrorists/Non-state Militia,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201601140023,2016-01-14,"Iraq","Tall Kusaybah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,9,4,Government (General),Police,Terrorists/Non-state Militia,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Unknown,,
201601120043,2016-01-12,"Iraq","Tikrit","Islamic State of Iraq and the Levant (ISIL)",0,,,,,25,Unknown,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201601120019,2016-01-12,"Iraq","Jadidat ash Shatt","Islamic State of Iraq and the Levant (ISIL)",0,,,,,3,1,Police,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201601120001,2016-01-12,"Turkey","Istanbul","Islamic State of Iraq and the Levant (ISIL)",0,,,,,13,13,Tourists,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201601110028,2016-01-11,"Iraq","Muqdadiyah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,11,25,Business,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
